scalerank,featurecla,name,name_alt
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,Line of control (please verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,Indefinite (please verify),,
1,Line of control (please verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,Indefinite (please verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,Disputed (please verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,Disputed (please verify),,
1,International boundary (verify),,
1,Disputed (please verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,Disputed (please verify),,
1,Line of control (please verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,Disputed (please verify),,
1,Disputed (please verify),,
1,Disputed (please verify),,
1,International boundary (verify),,
1,Disputed (please verify),,
1,International boundary (verify),,
1,Disputed (please verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,Disputed (please verify),,
1,Disputed (please verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,Disputed (please verify),,
1,Disputed (please verify),,
1,International boundary (verify),,
1,International boundary (verify),,
1,Line of control (please verify),,
